region_id,cluster,latitude,longitude,mean_cases,outbreak_rate,population,cases_per_capita,monsoon_ratio
1,0,19.077797,72.881227,11.164969228255542,0.11072381678557813,2104902,0.5063703161526246,0.5350461705064853
2,0,19.061711,72.885799,16.568022211334313,0.13092710544939845,3027150,0.5298121999691192,0.5484771915528407
3,1,28.667742,77.239164,25.674456610557282,0.10404750231519311,4838283,0.5199065466794285,0.508693908641289
4,0,28.646141,77.226238,23.83259767860062,0.10092093073946924,4287433,0.5432014045251659,0.5267209782486916
5,-1,12.97436,77.574557,11.279904045360375,0.10287863918874714,2133306,0.5050765119227001,0.534662174898621
6,0,12.980104,77.578451,14.550846996023749,0.11819815894111879,2917034,0.4822897917631604,0.5328479448978064
7,0,12.96286,77.579567,23.17247396259338,0.10545831288510824,4525049,0.5010211559400426,0.5302415986408164
8,-1,17.377755,78.462337,25.311118370902754,0.1053577262332571,4725812,0.5244944969033761,0.555008443311499
9,0,17.378606,78.457469,19.743199781956935,0.11092940855819024,3759593,0.511535796182575,0.5232971644716862
10,0,23.019787,72.596744,11.686528921114322,0.1010194624652456,2027257,0.5493708057425276,0.5092481585318636
11,0,23.019773,72.605793,14.91250817171497,0.10465242972325126,2669659,0.5384239782484043,0.5256689864284801
12,0,23.020454,72.587215,19.382638585770405,0.10644914884329987,3427114,0.5495325239209847,0.5284338176925285
13,0,13.096065,80.266262,18.202518534670737,0.11660488443087658,3411779,0.5183275637410765,0.5197210009942859
14,0,13.115623,80.290406,18.967898408545892,0.11865053411816001,3593530,0.5135439107993137,0.5352820495138266
15,0,22.570015,88.364754,23.462254901960783,0.09956427015250545,4532210,0.5065024017037393,0.5404301155146157
16,-1,22.552539,88.347207,11.18042613481554,0.10424500027246472,2182244,0.48988741496595195,0.5364497277906937
17,0,22.558024,88.373611,22.334969191340857,0.11521893233000709,4249103,0.5135534658834444,0.5368943511018013
18,0,21.184634,72.831574,12.908278380293204,0.10856177448362309,2330511,0.5310931890574947,0.5223195626015917
19,1,21.189171,72.836347,25.791500953418687,0.12530645600653773,4636706,0.5445028877329242,0.5289710268607786
20,0,21.201761,72.839107,18.99526066350711,0.11510595413193878,3516807,0.5251942020546606,0.5063192399131624
21,2,18.506982,73.850712,10.020751633986928,0.0644880174291939,1977594,0.48232482544649863,0.5542716135274103
22,2,18.496948,73.871845,3.862718414893038,0.06014914811387513,667335,0.5033940084699692,0.5519073319899103
23,2,18.502975,73.837407,7.145147219193021,0.059923664122137406,1450870,0.4607186430321704,0.5559014979815786
24,2,26.932142,75.792258,6.6651223633291545,0.06360712923093693,1245056,0.4955274994743085,0.5576926222134995
25,2,26.925045,75.778133,9.742250068101335,0.06303459547807137,1933503,0.47908707624730995,0.5374175148193714
26,2,26.942052,75.792883,5.393458708094848,0.05990733169801036,1013405,0.48441121677151155,0.5533433053040103
27,2,26.425934,80.362079,9.209218698921216,0.06854091751116922,1842176,0.474170142094291,0.5361806101983707
28,2,26.443949,80.365387,3.4869475175758895,0.06981306883208895,617310,0.4861144439051302,0.5237016082396887
29,2,26.461935,80.355107,6.7361572385256165,0.06157782980345184,1341303,0.46736579598638295,0.5346497041802722
30,2,19.024971,73.026976,8.51155061566961,0.06723330064291162,1689462,0.4756485812869795,0.550108179385746
31,2,19.024683,73.008294,7.711345818815331,0.06173780487804878,1546963,0.468216093428652,0.5374568457318752
32,2,19.044332,73.033193,4.359572612298299,0.06012865242040994,792826,0.48828916410345347,0.5289660260337864
33,2,26.831334,80.930829,7.482214948172395,0.06786688488816148,1398490,0.49931697563363087,0.5625154939846883
34,2,26.859858,80.925763,4.330246745465439,0.0629663925050384,790102,0.48648882324334064,0.5269811320754717
35,2,26.828749,80.918215,3.96041439476554,0.0712649945474373,729950,0.47718710702639194,0.5292902870516969
36,2,21.165416,79.080531,6.903830436440908,0.05524982291723424,1385333,0.4648001785755052,0.5349191441672521
37,2,21.146387,79.081391,7.57060267248432,0.06561221707117534,1481571,0.4786761183964754,0.5371088121722091
38,2,21.140377,79.080573,4.108714596949891,0.06612200435729848,740232,0.4889976336237957,0.5217466230099288
39,2,11.003131,76.972181,5.909932476584622,0.0642016989762579,1213399,0.4499723600051943,0.5318019736296542
40,2,10.991404,76.987179,3.1424523160762945,0.0699182561307902,506805,0.5178685600936536,0.5161709876007977
41,2,10.976768,76.965722,4.6734927291541855,0.058439082838625346,874660,0.47949979779145396,0.5346284275908683
42,2,22.719455,75.826811,6.38457762992856,0.059169984184981185,1125884,0.5208141740922111,0.5937561392269912
43,2,22.715035,75.837823,4.8978002831318745,0.06637264510508549,838792,0.5217130400697785,0.5444449385241346
44,2,22.723017,75.833189,7.902139008327437,0.07070157296032221,1524680,0.4863812571292462,0.5316316199108736
45,2,19.214182,72.974829,5.9432307273222555,0.06521383819122854,1144903,0.47740512532480484,0.5342610162344508
46,2,19.185013,72.98431,4.05098316901792,0.06868565826025383,665165,0.5294260935899996,0.5427776209108144
47,2,19.205843,72.996407,8.195899896406956,0.072842265961507,1617165,0.47729250808203966,0.5428546719708359
48,2,22.292009,73.221967,9.123556959268134,0.06714223480723154,1653021,0.5204476705794245,0.533125231279768
49,2,22.300905,73.200568,8.879786480745139,0.07211721771338309,1630985,0.5129903771982506,0.5362613096150897
50,2,22.299547,73.202637,7.050381263616558,0.06508714596949891,1336747,0.49071835637148065,0.5182160901070717
51,2,23.238755,77.409994,7.686566350452513,0.07093010576818232,1585435,0.45605830841607736,0.5397764348738899
52,2,23.263998,77.400476,6.146953014281042,0.05096478796467895,1209016,0.46958578155507974,0.5434811524035008
53,2,23.242941,77.398059,2.959640522875817,0.06122004357298475,515080,0.481179768952952,0.5147957305852042
54,2,17.727729,83.324562,3.2601121454624638,0.06358538842615276,565877,0.48959674916876,0.5252145743579467
55,2,17.736492,83.335827,5.761598780222174,0.06354824656937487,1084009,0.4866178196468248,0.5718147192529794
56,2,17.728213,83.313132,8.848207475209763,0.07279067233300643,1697564,0.4922332376043225,0.57645581000117
57,2,18.622568,73.815477,7.529485502507085,0.06943536080226728,1353666,0.51796530306873,0.5840668249464358
58,2,18.638161,73.790743,6.781232951445717,0.07708674304418986,1243015,0.5049260768826646,0.5338010152774314
59,2,18.622427,73.808947,3.5967073702573047,0.06454426515481901,613605,0.5040193622882834,0.5449764318949969
60,2,25.597474,85.148341,6.3619882404181185,0.06358885017421603,1211569,0.485066987738969,0.5550839480395009
61,2,25.598476,85.124915,4.671222433977675,0.060277702150830385,898896,0.46763851631978454,0.5231384342798526
62,2,25.596702,85.117377,5.667774991823831,0.058268832443039355,1084151,0.4786361698654843,0.5470562212690658
63,2,11.71592,78.969098,8.504169619011282,0.06278955687578351,1654115,0.4848125475816171,0.5480013074660155
64,2,11.722522,78.942294,5.343494383247901,0.06723743047224343,995723,0.4876683599092016,0.5610776609858149
65,2,11.748241,78.965442,6.744303935462771,0.05603401286383953,1341042,0.4680157785451618,0.5461723725471179
66,2,30.899025,75.855978,7.077601699068779,0.06360616457005935,1318773,0.49885370662317224,0.5795240330237675
67,2,30.898697,75.841553,9.58133202635735,0.06458639655829658,1960858,0.4649195639077195,0.5500701931875664
68,2,30.92522,75.850196,5.828296030060447,0.06469531122365627,1122241,0.476853258077617,0.5428026834600939
